start,end,label
2017-07-12 17:44:55.644900-05:00,2017-07-12 17:45:07.800000-05:00,c
2017-07-12 17:45:16.200000-05:00,2017-07-12 17:46:09.600000-05:00,c
2017-07-12 17:46:38.600000-05:00,2017-07-12 17:47:05.600000-05:00,c
2017-07-12 17:47:19.200000-05:00,2017-07-12 17:47:56.600000-05:00,c
2017-07-12 17:48:03.600000-05:00,2017-07-12 17:48:16.800000-05:00,c
2017-07-12 17:48:23.800000-05:00,2017-07-12 17:49:14.392100-05:00,c
2017-07-17 11:07:19-05:00,2017-07-17 11:09:46-05:00,c
2017-07-17 11:09:57.600000-05:00,2017-07-17 11:10:45.400000-05:00,c
2017-07-17 11:10:58.800000-05:00,2017-07-17 11:13:10.800000-05:00,c
2017-07-17 11:13:45.800000-05:00,2017-07-17 11:16:45-05:00,c
2017-07-17 11:17:06.600000-05:00,2017-07-17 11:18:53.400000-05:00,c
2017-07-18 11:08:41.600000-05:00,2017-07-18 11:10:05.800000-05:00,c
2017-07-18 11:10:36-05:00,2017-07-18 11:15:14.107100-05:00,c
2017-07-18 11:16:01.800000-05:00,2017-07-18 11:18:00.200000-05:00,c
2017-07-18 11:18:10.600000-05:00,2017-07-18 11:22:30.800000-05:00,c
2017-07-18 11:22:59.600000-05:00,2017-07-18 11:23:20.400000-05:00,c
2017-07-18 11:23:48.600000-05:00,2017-07-18 11:25:23.400000-05:00,c
