start,end,label
2017-08-12 14:17:06.400000-05:00,2017-08-12 14:17:15.003800-05:00,c
2017-08-12 14:17:34.599400-05:00,2017-08-12 14:18:40.800000-05:00,c
2017-08-12 14:20:31.200000-05:00,2017-08-12 14:21:30-05:00,c
2017-08-12 14:23:30.200000-05:00,2017-08-12 14:23:34.600000-05:00,c
2017-08-12 14:23:40.800000-05:00,2017-08-12 14:23:44.400000-05:00,c
2017-08-12 14:23:48.800000-05:00,2017-08-12 14:24:05.800000-05:00,c
2017-08-12 14:24:30.400000-05:00,2017-08-12 14:25:23.774600-05:00,c
2017-08-12 14:26:00.200000-05:00,2017-08-12 14:26:36.392000-05:00,c
2017-08-12 14:26:42.600000-05:00,2017-08-12 14:26:52.842400-05:00,c
2017-08-12 19:45:09.700300-05:00,2017-08-12 19:45:19.800000-05:00,c
2017-08-12 19:45:29.400000-05:00,2017-08-12 19:45:44.200000-05:00,c
2017-08-12 19:45:51.200000-05:00,2017-08-12 19:46:02.200000-05:00,c
2017-08-12 19:46:15.200000-05:00,2017-08-12 19:46:24-05:00,c
2017-08-12 19:46:29.800000-05:00,2017-08-12 19:46:36.600000-05:00,c
2017-08-13 19:54:34.876500-05:00,2017-08-13 19:57:14.447500-05:00,c
2017-08-21 14:37:21.177800-05:00,2017-08-21 14:38:14-05:00,c
2017-08-21 14:40:26.600000-05:00,2017-08-21 14:41:11.800000-05:00,c
2017-08-21 14:41:54.200000-05:00,2017-08-21 14:42:43.600000-05:00,c
2017-08-21 14:44:00-05:00,2017-08-21 14:44:52.800000-05:00,c
2017-08-21 14:45:46.800000-05:00,2017-08-21 14:46:31-05:00,c
2017-08-21 14:48:03.200000-05:00,2017-08-21 14:48:29.800000-05:00,c
2017-08-21 16:53:36-05:00,2017-08-21 16:56:10.200000-05:00,c
2017-08-21 16:58:27.800000-05:00,2017-08-21 16:59:11.923400-05:00,c
2017-08-21 17:03:24.999700-05:00,2017-08-21 17:03:41.800000-05:00,c
2017-08-21 17:03:53.800000-05:00,2017-08-21 17:04:04.600000-05:00,c
2017-08-21 17:04:10.502500-05:00,2017-08-21 17:04:56-05:00,c
