start,end,label
2017-08-09 17:15:40.080500-05:00,2017-08-09 17:15:57.800000-05:00,c
2017-08-09 17:16:10-05:00,2017-08-09 17:16:20.450600-05:00,c
2017-08-09 17:16:41.496100-05:00,2017-08-09 17:17:21.600000-05:00,c
2017-08-09 17:17:30.400000-05:00,2017-08-09 17:17:37.800000-05:00,c
2017-08-09 17:17:41.400000-05:00,2017-08-09 17:18:29.400000-05:00,c
2017-08-09 17:18:42.600000-05:00,2017-08-09 17:19:21.400000-05:00,c
2017-08-09 17:19:37.966400-05:00,2017-08-09 17:20:16.024100-05:00,c
2017-08-09 17:21:08.400000-05:00,2017-08-09 17:21:36.400000-05:00,c
2017-08-09 17:21:58.400000-05:00,2017-08-09 17:22:47.600000-05:00,c
2017-08-09 17:23:05.200000-05:00,2017-08-09 17:23:51.200000-05:00,c
2017-08-09 17:27:16.400000-05:00,2017-08-09 17:27:32.400000-05:00,c
2017-08-09 17:30:52.600000-05:00,2017-08-09 17:31:30.800000-05:00,c
2017-08-09 17:32:20.800000-05:00,2017-08-09 17:32:36.400000-05:00,c
2017-08-09 17:33:45.800000-05:00,2017-08-09 17:33:56-05:00,c
2017-08-09 17:34:28.400000-05:00,2017-08-09 17:34:40.400000-05:00,c
2017-08-09 17:34:53.069700-05:00,2017-08-09 17:35:10-05:00,c
2017-08-09 17:35:53-05:00,2017-08-09 17:35:56-05:00,c
2017-08-09 17:36:07.800000-05:00,2017-08-09 17:36:37-05:00,c
2017-08-10 08:14:37.102900-05:00,2017-08-10 08:14:53.400000-05:00,c
2017-08-10 08:14:58.400000-05:00,2017-08-10 08:15:31.465800-05:00,c
2017-08-10 08:15:42.600600-05:00,2017-08-10 08:16:15.800000-05:00,c
2017-08-10 08:16:22.200000-05:00,2017-08-10 08:16:40.920700-05:00,c
2017-08-10 08:16:57.875100-05:00,2017-08-10 08:17:12.600000-05:00,c
2017-08-10 08:18:32.556600-05:00,2017-08-10 08:18:42.969700-05:00,c
2017-08-10 08:18:59.295900-05:00,2017-08-10 08:19:21.924800-05:00,c
2017-08-10 08:21:47.641800-05:00,2017-08-10 08:22:14.800000-05:00,c
2017-08-10 08:23:05.800000-05:00,2017-08-10 08:23:43.200000-05:00,c
2017-08-10 08:24:10.800000-05:00,2017-08-10 08:24:38.400000-05:00,c
2017-08-10 08:25:19.400000-05:00,2017-08-10 08:25:23.400000-05:00,c
2017-08-10 08:25:33.200000-05:00,2017-08-10 08:25:59.993000-05:00,c
2017-08-10 21:40:46.608600-05:00,2017-08-10 21:41:01.056800-05:00,c
2017-08-10 21:42:41.400000-05:00,2017-08-10 21:42:47.951900-05:00,c
2017-08-11 09:46:09.002900-05:00,2017-08-11 09:46:51.400000-05:00,c
2017-08-11 09:47:07.600000-05:00,2017-08-11 09:47:39.400000-05:00,c
2017-08-11 09:47:47.400000-05:00,2017-08-11 09:47:56.400000-05:00,c
2017-08-11 09:48:05.200000-05:00,2017-08-11 09:48:23-05:00,c
2017-08-11 09:48:38.800000-05:00,2017-08-11 09:48:58.384000-05:00,c
2017-08-11 09:49:57-05:00,2017-08-11 09:50:31-05:00,c
2017-08-11 09:50:46.200000-05:00,2017-08-11 09:51:14.600000-05:00,c
2017-08-11 14:46:01.600000-05:00,2017-08-11 14:47:01.400000-05:00,c
2017-08-11 14:47:24-05:00,2017-08-11 14:49:16.400000-05:00,c
2017-08-11 14:49:25.600000-05:00,2017-08-11 14:49:31.800000-05:00,c
2017-08-11 14:49:44.600000-05:00,2017-08-11 14:51:28.600000-05:00,c
2017-08-11 14:51:37.200000-05:00,2017-08-11 14:52:20.200000-05:00,c
2017-08-11 14:52:30.200000-05:00,2017-08-11 14:53:14.600000-05:00,c
2017-08-11 14:54:27.800000-05:00,2017-08-11 14:54:55.200000-05:00,c
2017-08-11 14:55:03.800000-05:00,2017-08-11 14:56:14.600000-05:00,c
2017-08-11 14:56:48.400000-05:00,2017-08-11 14:57:18-05:00,c
2017-08-11 14:57:56-05:00,2017-08-11 14:58:02.200000-05:00,c
2017-08-11 14:58:08.200000-05:00,2017-08-11 15:00:36-05:00,c
2017-08-11 15:01:06.200000-05:00,2017-08-11 15:01:14.200000-05:00,c
2017-08-11 15:01:47.470400-05:00,2017-08-11 15:02:13.800000-05:00,c
2017-08-14 15:15:27.200000-05:00,2017-08-14 15:16:40.234300-05:00,c
2017-08-14 15:16:52-05:00,2017-08-14 15:17:02.800000-05:00,c
2017-08-14 15:17:08.800000-05:00,2017-08-14 15:17:19.200000-05:00,c
2017-08-14 15:17:24-05:00,2017-08-14 15:18:14.600000-05:00,c
2017-08-14 15:18:19.600000-05:00,2017-08-14 15:18:56-05:00,c
2017-08-14 15:19:30.800000-05:00,2017-08-14 15:21:35.400000-05:00,c
2017-08-14 15:21:54-05:00,2017-08-14 15:23:09.716700-05:00,c
2017-08-14 15:23:29-05:00,2017-08-14 15:25:01-05:00,c
2017-08-14 15:26:37.800000-05:00,2017-08-14 15:26:43.800000-05:00,c
2017-08-14 15:27:35.400000-05:00,2017-08-14 15:27:44.400000-05:00,c
2017-08-14 15:28:57.400000-05:00,2017-08-14 15:29:18.200000-05:00,c
2017-08-14 15:29:29.399800-05:00,2017-08-14 15:30:26.755500-05:00,c
